"LOCALITY","URL","LATITUDE","LONGITUDE"
"10 no spar teesta riverbed","https://ebird.org/checklist/S80236096",26.4810182,88.7393805
"Ahiron Wetland","https://ebird.org/checklist/S82724141",24.5207629,88.0358613
"Alitakhali","https://ebird.org/checklist/S82724132",22.1463614,88.602433
"Ash Pond of Farakka Thermal Power Project","https://ebird.org/checklist/S79755496",24.7872216,87.8985536
"Bakreshwar Dam (count 1)","https://ebird.org/checklist/S80002892",23.8266325,87.41611
"Bakreshwar Dam (count 2)","https://ebird.org/checklist/S79952342",23.8266325,87.41611
"Ballavpur WLS Jheel 1","https://ebird.org/checklist/S79960408",23.6890095,87.6789021
"Ballavpur WLS Jheel 2","https://ebird.org/checklist/S79959045",23.6887412,87.6670843
"Ballavpur WLS Jheel 3","https://ebird.org/checklist/S79959856",23.6831016,87.6609582
"Bara Sagardighi Fish Farm","https://ebird.org/checklist/S80186617",24.9697765,88.1016827
"Baruipur Marshes","https://ebird.org/checklist/S79825725",22.3626971,88.3906103
"Bhatikhana wetlands JG","https://ebird.org/checklist/S79306987",26.4802151,88.7087417
"Binod Dighi","https://ebird.org/checklist/S79866131",24.4844783,88.1216717
"Bortibeel (count 1)","https://ebird.org/checklist/S80031330",22.7870466,88.4072312
"Bortibeel (count 2)","https://ebird.org/checklist/S80239915",22.7870466,88.4072312
"Bosipota","https://ebird.org/checklist/S79799108",22.68649,88.32162
"Diara","https://ebird.org/checklist/S79799142",22.7954898,88.2948768
"Farakka IBA Panchanandapur (count 1)","https://ebird.org/checklist/S79965785",24.9578841,87.9770337
"Farakka IBA Panchanandapur (count 2)","https://ebird.org/checklist/S79377042",24.9578841,87.9770337
"Fulbari Grassland","https://ebird.org/checklist/S80630318",26.6681918,88.4079511
"Gajoldoba Barrage JG","https://ebird.org/checklist/S82724140",26.7566261,88.5714342
"Jagannathpur Wetland 1","https://ebird.org/checklist/S79732893",24.8146692,87.9495125
"Jagannathpur Wetland 2","https://ebird.org/checklist/S79737321",24.8149542,87.9428908
"Jaypur","https://ebird.org/checklist/S79921826",23.4165298,86.1334626
"Joka Wetlands","https://ebird.org/checklist/S79583985",22.4391744,88.3023549
"Kamalpur","https://ebird.org/checklist/S80630315",22.2144598,87.9895255
"Karjjana Wetland 1","https://ebird.org/checklist/S80051534",23.3627044,87.8923845
"Karjjana Wetland 2","https://ebird.org/checklist/S80299831",23.3626982,87.8927134
"Kharibari","https://ebird.org/checklist/S80886542",22.6345363,88.522194
"Nabagram (count 1)","https://ebird.org/checklist/S80001654",22.7141965,88.3274771
"Nabagram (count 2)","https://ebird.org/checklist/S79914004",22.7141965,88.3274771
"Nalban Bheri","https://ebird.org/checklist/S79308087",22.5612324,88.43256
"Naya Bundh Wetland Complex (IBA)","https://ebird.org/checklist/S82724139",24.944564,88.3006382
"Piyali Island Tourist Lodge","https://ebird.org/checklist/S79323608",22.1339924,88.6001116
"Purbasthali Bird Sanctuary PUB","https://ebird.org/checklist/S82724134",23.4599194,88.3532473
"Rabindra Sarovar (including Lion's Safari Park)","https://ebird.org/checklist/S82724133",22.5123362,88.3597136
"Rajarhat Wetlands I","https://ebird.org/checklist/S79865187",22.6016851,88.4750361
"Rampara","https://ebird.org/checklist/S79758582",23.8526977,88.2312967
"Sagardighi Ash Pond","https://ebird.org/checklist/S79858856",24.3787127,88.0965086
"Sahaspur","https://ebird.org/checklist/S80630314",23.1132415,87.6594564
"Saheb Bandh","https://ebird.org/checklist/S82724143",23.338725,86.3599747
"Santragachi Jheel (Lake)","https://ebird.org/checklist/S82724151",22.5804301,88.282823
"Shyamkhola Birding Place","https://ebird.org/checklist/S80027920",22.423221,88.386493
"Sundoriya Bill","https://ebird.org/checklist/S80394113",24.0850308,88.4108061
"Tajpur (count 1)","https://ebird.org/checklist/S79968991",21.6461401,87.6301718
"Tajpur (count 2)","https://ebird.org/checklist/S79728200",21.6461401,87.6301718
"Unnamed Road, Bayra, West Bengal, IN (24.446, 88.207)","https://ebird.org/checklist/S79885918",24.4461475,88.2073808
